epoch,train_total,train_box,train_cls,train_dfl,train_kpt,val_total,val_box,val_cls,val_dfl,val_kpt,lr
1,19.1821,0.354595,0.565727,2.83693,11.9844,18.7012,0.293264,0.462143,2.77065,12.1146,0.001
2,18.2903,0.331429,0.408907,2.54735,11.7791,18.6766,0.29331,0.220285,2.76003,12.2266,0.000999957
3,17.6872,0.332872,0.313711,2.35083,11.5076,17.5315,0.301206,0.248722,2.31313,11.6784,0.000999829
4,17.0671,0.303026,0.233915,2.21885,11.3492,16.6252,0.270269,0.222707,2.11534,11.3138,0.000999615
5,16.275,0.278891,0.174506,2.02106,11.0645,15.8409,0.264219,0.153464,1.91924,10.9037,0.000999315
6,15.9646,0.274569,0.130049,1.96167,10.8978,21.01,0.352286,0.123568,4.40931,11.6921,0.000998929
7,15.9771,0.276496,0.0987768,1.98771,10.8725,15.3862,0.255755,0.0939608,1.87858,10.6032,0.000998459
8,15.6986,0.267417,0.0730886,1.92664,10.7664,14.6267,0.268449,0.0617013,1.90714,9.72178,0.000997902
9,15.2329,0.256978,0.0586101,1.8728,10.467,16.5718,0.302823,0.0460664,2.19623,10.9832,0.000997261
10,15.4722,0.260907,0.0480622,1.88089,10.67,16.2852,0.280701,0.0373482,2.30795,10.6994,0.000996534
11,15.1103,0.255848,0.0386952,1.8868,10.3419,15.0023,0.26116,0.0418127,1.86771,10.2211,0.000995722
12,14.6971,0.239937,0.032155,1.75823,10.2441,14.4236,0.245928,0.0415697,1.79349,9.86817,0.000994826
13,14.7357,0.2509,0.027174,1.76146,10.1982,14.2677,0.235284,0.0246608,1.73474,9.8886,0.000993844
14,14.3215,0.236073,0.0235135,1.68769,10.0076,14.5321,0.251489,0.0236007,1.81811,9.90697,0.000992778
15,14.6365,0.248537,0.0215313,1.76105,10.1201,14.1014,0.225923,0.0207203,1.69215,9.85842,0.000991627
16,14.4596,0.240135,0.0196852,1.73755,10.0424,13.778,0.233767,0.0212587,1.71331,9.44419,0.000990393
17,14.2356,0.242227,0.0171343,1.687,9.87984,14.4863,0.247512,0.0166373,1.83738,9.8656,0.000989074
18,14.1631,0.22336,0.0154736,1.64837,10.0076,13.8189,0.22833,0.0158117,1.696,9.55448,0.000987671
19,13.975,0.216802,0.013959,1.61873,9.9139,14.315,0.245238,0.0149806,1.81896,9.73981,0.000986185
20,14.2192,0.230536,0.0130952,1.64098,10.0222,14.1884,0.221482,0.0120479,1.65183,10.0435,0.000984615
21,14.0144,0.223702,0.0123822,1.62051,9.89969,14.3639,0.240879,0.0120191,1.72262,9.96739,0.000982963
22,13.8639,0.223901,0.0121286,1.58447,9.80185,13.8888,0.235786,0.0111122,1.75321,9.48504,0.000981228
23,13.9116,0.228883,0.0113738,1.59023,9.80395,13.5471,0.226008,0.0114699,1.65015,9.37106,0.00097941
24,13.6417,0.211207,0.0105934,1.51707,9.77675,13.5329,0.204161,0.0105353,1.61652,9.57162,0.00097751
25,13.4419,0.208493,0.010267,1.51888,9.59475,13.3534,0.216482,0.00957584,1.63533,9.27199,0.000975528
26,13.7174,0.211998,0.00952516,1.52561,9.83422,13.977,0.231493,0.0095648,1.70719,9.67522,0.000973465
27,13.4763,0.206321,0.00904774,1.51383,9.65366,13.1534,0.205756,0.00811934,1.59077,9.22001,0.000971321
28,13.6877,0.212598,0.00927533,1.57406,9.72748,13.553,0.223224,0.0126461,1.66963,9.36807,0.000969096
29,13.801,0.218937,0.00891586,1.57899,9.78603,13.9555,0.217668,0.00879112,1.6418,9.85586,0.00096679
30,13.7559,0.213933,0.00831922,1.55776,9.81064,12.9002,0.208046,0.00781046,1.57652,8.97114,0.000964405
31,13.3137,0.202219,0.00806658,1.49954,9.54376,12.7295,0.208468,0.00753065,1.56264,8.81831,0.00096194
32,13.261,0.20109,0.00787319,1.4732,9.53913,13.1529,0.217487,0.00798977,1.6236,9.08239,0.000959396
33,13.3281,0.208853,0.00754155,1.50542,9.49979,12.7863,0.190052,0.00693512,1.52792,9.06557,0.000956773
34,13.501,0.215174,0.00752624,1.55685,9.54821,13.2278,0.201997,0.00727611,1.60904,9.2956,0.000954072
35,13.6008,0.216381,0.00728875,1.50097,9.72279,12.7246,0.194468,0.00715225,1.52798,8.9705,0.000951293
36,13.5389,0.224966,0.00727746,1.54298,9.5336,12.4354,0.184146,0.00600568,1.48334,8.82626,0.000948436
37,13.33,0.210451,0.00707018,1.51614,9.47388,13.0097,0.21686,0.00737125,1.52235,9.09601,0.000945503
38,13.3201,0.221896,0.00689771,1.51838,9.37485,13.1194,0.225661,0.00631836,1.69778,8.87711,0.000942494
39,13.369,0.21118,0.00688814,1.48846,9.54905,13.3376,0.213911,0.00623446,1.57375,9.36954,0.000939409
40,13.1607,0.204366,0.00654466,1.46729,9.42379,13.0728,0.206752,0.00642316,1.50966,9.2545,0.000936248
41,12.9824,0.204874,0.00653563,1.47881,9.22436,13.0308,0.212111,0.00616762,1.61803,9.0098,0.000933013
42,12.8118,0.198338,0.00602637,1.43721,9.16547,12.7213,0.208448,0.00577982,1.6381,8.69789,0.000929703
43,13.2047,0.210902,0.00628471,1.48291,9.3954,13.1271,0.213052,0.00561411,1.64575,9.05779,0.00092632
44,13.0405,0.210851,0.0060409,1.4477,9.28451,12.7848,0.213563,0.00568751,1.56701,8.82968,0.000922864
45,12.9342,0.197439,0.0060593,1.4107,9.33436,13.2342,0.222974,0.00919898,1.63307,9.10771,0.000919335
46,13.205,0.216999,0.00616529,1.47888,9.35611,13.6327,0.233757,0.00569563,1.69739,9.33056,0.000915735
47,12.9783,0.205724,0.00597167,1.47234,9.22382,12.6777,0.221422,0.00521725,1.4903,8.779,0.000912063
48,12.9134,0.210022,0.00577663,1.4358,9.18167,13.1686,0.237335,0.00510907,1.59859,8.98817,0.000908321
49,12.8149,0.197804,0.00556762,1.42093,9.19719,12.5431,0.211883,0.00506559,1.50965,8.68693,0.000904508
50,12.7027,0.2001,0.00557342,1.39636,9.10462,12.8527,0.22168,0.00481811,1.5232,8.9029,0.000900627
51,12.8343,0.212082,0.00572354,1.4478,9.06908,12.4588,0.198124,0.00494188,1.50089,8.71911,0.000896677
52,13.1136,0.216134,0.00551705,1.47747,9.27366,12.4105,0.203218,0.00438119,1.40239,8.78061,0.000892658
53,12.556,0.200781,0.00521856,1.41995,8.91758,12.8984,0.236023,0.00483434,1.58032,8.75535,0.000888573
54,12.8091,0.205512,0.00542036,1.42982,9.12034,12.4816,0.210465,0.00427725,1.47147,8.69372,0.000884421
55,12.3755,0.191614,0.00504211,1.36058,8.89505,12.1866,0.205921,0.00465262,1.45002,8.46483,0.000880203
56,12.6995,0.196678,0.00532564,1.40196,9.11884,11.8911,0.183715,0.00452154,1.39609,8.41683,0.00087592
57,12.6305,0.202159,0.00512905,1.40809,8.99957,12.9321,0.228243,0.00518065,1.58733,8.8367,0.000871572
58,12.3309,0.192765,0.00484437,1.38233,8.80923,12.8676,0.230233,0.00465603,1.62394,8.70265,0.000867161
59,12.556,0.205915,0.00503999,1.39408,8.91799,12.4397,0.221692,0.0046218,1.57211,8.4165,0.000862687
60,12.7266,0.199782,0.00484835,1.41817,9.09858,12.1826,0.21925,0.00416735,1.57296,8.1767,0.000858151
61,12.4317,0.202394,0.00499185,1.40267,8.80727,12.0511,0.216942,0.00380862,1.4027,8.31804,0.000853553
62,12.27,0.192501,0.00476894,1.3368,8.81867,12.9905,0.224294,0.00444311,1.578,8.93904,0.000848895
63,12.1111,0.188039,0.00438672,1.32676,8.70845,12.1181,0.220213,0.00388223,1.48903,8.23102,0.000844177
64,12.473,0.19119,0.004629,1.3406,9.0259,12.4031,0.223018,0.00367776,1.45393,8.54769,0.0008394
65,12.4508,0.198492,0.00464466,1.38522,8.88193,12.4249,0.205853,0.00415732,1.36139,8.83684,0.000834565
66,12.3683,0.190232,0.0044778,1.32919,8.94549,11.5902,0.183417,0.00433928,1.29002,8.27738,0.000829673
67,12.4383,0.192823,0.00451296,1.33389,8.98909,12.156,0.202386,0.00459606,1.43717,8.48005,0.000824724
